task_idx,text,stratum,category,description,daniil_n_spans,daniil_spans,daniil_type,shirin_n_spans,shirin_spans,shirin_type,igor_n_spans,igor_spans,igor_type
98,"Паулюс , этот теоретик - размазня , неспособный к практическим действиям , сдавшийся , прежде чем было принято формальное решение , заставил своих спасителей попусту терять время , ожидая его .",solyanka_lj_long,split_main_clause,Главное предложение со встроенным придаточным — варианты разметки: 2 span'а главной части + придаточное / перекрытие / 2 span'а.,3,"[0,84]Паулюс , этот теоретик - размазня , неспособный к практическим действиям , сдавшийся; [87,129]прежде чем было принято формальное решение; [132,191]заставил своих спасителей попусту терять время , ожидая его",СПП,3,"[0,84]Паулюс , этот теоретик - размазня , неспособный к практическим действиям , сдавшийся; [87,129]прежде чем было принято формальное решение; [132,191]заставил своих спасителей попусту терять время , ожидая его",Смешанного типа,3,"[0,93]Паулюс , этот теоретик - размазня , неспособный к практическим действиям , сдавшийся , прежде; [94,129]чем было принято формальное решение; [132,191]заставил своих спасителей попусту терять время , ожидая его",СПП
99,"По данным обвинения, летом 2016 года он грозил депутату Госдумы Юрию Напсо опубликовать компрометирующие материалы, если тот не выплатит 150 тысяч рублей.",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,114]По данным обвинения, летом 2016 года он грозил депутату Госдумы Юрию Напсо опубликовать компрометирующие материалы; [116,153]если тот не выплатит 150 тысяч рублей",СПП,2,"[0,114]По данным обвинения, летом 2016 года он грозил депутату Госдумы Юрию Напсо опубликовать компрометирующие материалы; [116,153]если тот не выплатит 150 тысяч рублей",СПП,2,"[0,114]По данным обвинения, летом 2016 года он грозил депутату Госдумы Юрию Напсо опубликовать компрометирующие материалы; [116,153]если тот не выплатит 150 тысяч рублей",СПП
100,"По словам специалистов, BabaYaga состоит из двух модулей: один внедряет спам в уязвимые сайты, а второй — модуль бэкдора — позволяет злоумышленникам контролировать зараженную страницу в любое время.",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,56]По словам специалистов, BabaYaga состоит из двух модулей; [58,93]один внедряет спам в уязвимые сайты; [95,197]а второй — модуль бэкдора — позволяет злоумышленникам контролировать зараженную страницу в любое время",Смешанного типа,3,"[0,56]По словам специалистов, BabaYaga состоит из двух модулей; [58,93]один внедряет спам в уязвимые сайты; [95,197]а второй — модуль бэкдора — позволяет злоумышленникам контролировать зараженную страницу в любое время",БСП,3,"[0,56]По словам специалистов, BabaYaga состоит из двух модулей; [58,93]один внедряет спам в уязвимые сайты; [95,197]а второй — модуль бэкдора — позволяет злоумышленникам контролировать зараженную страницу в любое время",Смешанного типа
101,"Помог один знакомый врач, который как раз позвонил в тот момент, когда уже резала руку( врач - психиатр) После мы с эти молодым человеком виделись одни раз. Я понимала, что не получу желаемого от него, он ко мне ничего не чувствует.",presuicidal_monolabel_long,parcellation,"Точка/многоточие в середине высказывания (парцелляция) — один объединил парцеллят с основным предложением, другой разделил.",6,"[0,24]Помог один знакомый врач; [26,63]который как раз позвонил в тот момент; [65,103]когда уже резала руку( врач - психиатр; [105,155]После мы с эти молодым человеком виделись одни раз; [157,200]Я понимала, что не получу желаемого от него; [202,231]он ко мне ничего не чувствует",Смешанного типа,7,"[0,24]Помог один знакомый врач; [26,63]который как раз позвонил в тот момент; [65,103]когда уже резала руку( врач - психиатр; [105,155]После мы с эти молодым человеком виделись одни раз; [157,167]Я понимала; [169,200]что не получу желаемого от него; [202,231]он ко мне ничего не чувствует",Смешанного типа,6,"[0,63]Помог один знакомый врач, который как раз позвонил в тот момент; [65,86]когда уже резала руку; [105,155]После мы с эти молодым человеком виделись одни раз; [157,167]Я понимала; [169,200]что не получу желаемого от него; [202,231]он ко мне ничего не чувствует",Смешанного типа
102,"Потом испытали ( прошли по мосту всей командой , в ногу , громко топая ) и сказали :"" Теперь тут могут любить друг друга 500 пар одновременно "" .",solyanka_lj_long,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,4,"[0,14]Потом испытали; [17,70]прошли по мосту всей командой , в ногу , громко топая; [73,82]и сказали; [86,141]Теперь тут могут любить друг друга 500 пар одновременно",Смешанного типа,3,"[0,14]Потом испытали; [17,70]прошли по мосту всей командой , в ногу , громко топая; [73,141]и сказали :"" Теперь тут могут любить друг друга 500 пар одновременно",Смешанного типа,4,"[0,14]Потом испытали; [17,70]прошли по мосту всей командой , в ногу , громко топая; [73,82]и сказали; [86,141]Теперь тут могут любить друг друга 500 пар одновременно",БСП
103,Потом нашла для себя отдушину ( негатив) Триада) реп группа поставила меня на ноги начала бегать по утрам перестала с кем либо общается завела себе twitter и писала что чувствую там всего записи 3 и я опять впала в депрессию мама так погрузилась в онлайн игры что с работы приходит садится за компьютер спать ложится в 3 часа ночи в магазин хожу я работа по дома я готовка я. Я психанула набрала из аптечки таблеток и проглотила это было тяжело меня тошнило мне было плохо и я легла спать потом в 3 часа ночи у меня была слуховая галлюцинация.,presuicidal_multilabel_conj,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",15,"[0,82]Потом нашла для себя отдушину ( негатив) Триада) реп группа поставила меня на ноги; [83,177]начала бегать по утрам перестала с кем либо общается завела себе twitter и писала что чувствую; [178,196]там всего записи 3; [197,224]и я опять впала в депрессию; [225,259]мама так погрузилась в онлайн игры; [260,330]что с работы приходит садится за компьютер спать ложится в 3 часа ночи; [331,347]в магазин хожу я; [348,364]работа по дома я; [365,374]готовка я; [376,428]Я психанула набрала из аптечки таблеток и проглотила; [429,444]это было тяжело; [445,457]меня тошнило; [458,472]мне было плохо; [473,488]и я легла спать; [489,542]потом в 3 часа ночи у меня была слуховая галлюцинация",Смешанного типа,16,"[0,47]Потом нашла для себя отдушину ( негатив) Триада; [49,82]реп группа поставила меня на ноги; [83,177]начала бегать по утрам перестала с кем либо общается завела себе twitter и писала что чувствую; [178,196]там всего записи 3; [197,224]и я опять впала в депрессию; [225,259]мама так погрузилась в онлайн игры; [260,330]что с работы приходит садится за компьютер спать ложится в 3 часа ночи; [331,347]в магазин хожу я; [348,364]работа по дома я; [365,374]готовка я; [376,432]Я психанула набрала из аптечки таблеток и проглотила это; [433,444]было тяжело; [445,457]меня тошнило; [458,472]мне было плохо; [473,488]и я легла спать; [489,542]потом в 3 часа ночи у меня была слуховая галлюцинация",Смешанного типа,12,"[0,47]Потом нашла для себя отдушину ( негатив) Триада; [49,82]реп группа поставила меня на ноги; [83,177]начала бегать по утрам перестала с кем либо общается завела себе twitter и писала что чувствую; [178,196]там всего записи 3; [197,224]и я опять впала в депрессию; [225,259]мама так погрузилась в онлайн игры; [260,330]что с работы приходит садится за компьютер спать ложится в 3 часа ночи; [331,374]в магазин хожу я работа по дома я готовка я; [376,432]Я психанула набрала из аптечки таблеток и проглотила это; [433,472]было тяжело меня тошнило мне было плохо; [473,488]и я легла спать; [489,542]потом в 3 часа ночи у меня была слуховая галлюцинация",Смешанного типа
104,"При этом он считает странным это решение, так как «Северный поток-1» проходит как раз в территориальных водах Дании (страна имеет выход к Северному и Балтийскому морям).",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,40]При этом он считает странным это решение; [42,115]так как «Северный поток-1» проходит как раз в территориальных водах Дании; [117,167]страна имеет выход к Северному и Балтийскому морям",Смешанного типа,3,"[0,40]При этом он считает странным это решение; [42,115]так как «Северный поток-1» проходит как раз в территориальных водах Дании; [117,167]страна имеет выход к Северному и Балтийскому морям",СПП,3,"[0,40]При этом он считает странным это решение; [42,115]так как «Северный поток-1» проходит как раз в территориальных водах Дании; [117,167]страна имеет выход к Северному и Балтийскому морям",Смешанного типа
105,"Проучившись там 1, 5 года, я ещё больше убедилась, что мне совершенно не подходит эта профессия, что у меня нет к ней никаких способностей и всё таки забрала документы, родителям сообщать не стала.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",5,"[0,49]Проучившись там 1, 5 года, я ещё больше убедилась; [51,95]что мне совершенно не подходит эта профессия; [97,138]что у меня нет к ней никаких способностей; [139,167]и всё таки забрала документы; [169,196]родителям сообщать не стала",Смешанного типа,5,"[0,49]Проучившись там 1, 5 года, я ещё больше убедилась; [51,95]что мне совершенно не подходит эта профессия; [97,138]что у меня нет к ней никаких способностей; [139,167]и всё таки забрала документы; [169,196]родителям сообщать не стала",Смешанного типа,5,"[0,49]Проучившись там 1, 5 года, я ещё больше убедилась; [51,95]что мне совершенно не подходит эта профессия; [97,138]что у меня нет к ней никаких способностей; [139,167]и всё таки забрала документы; [169,196]родителям сообщать не стала",Смешанного типа
106,"Рвется вопль из водной бездны Бесполезный :« Не покиньте раб смиренных В долах пенных !» Если выглянешь из лодки В миг короткий , Всюду прикоснется взор твой К рыбе мертвой .",solyanka_lj_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,41]Рвется вопль из водной бездны Бесполезный; [45,85]Не покиньте раб смиренных В долах пенных; [89,127]Если выглянешь из лодки В миг короткий; [130,172]Всюду прикоснется взор твой К рыбе мертвой",Смешанного типа,4,"[0,41]Рвется вопль из водной бездны Бесполезный; [45,85]Не покиньте раб смиренных В долах пенных; [89,127]Если выглянешь из лодки В миг короткий; [130,172]Всюду прикоснется взор твой К рыбе мертвой",Смешанного типа,4,"[0,41]Рвется вопль из водной бездны Бесполезный; [45,85]Не покиньте раб смиренных В долах пенных; [89,127]Если выглянешь из лодки В миг короткий; [130,172]Всюду прикоснется взор твой К рыбе мертвой",Смешанного типа
107,"Решила что буду разводится, мои родители вроде поддерживают меня но только на словах.",presuicidal_multilabel_conj,split_main_clause,Главное предложение со встроенным придаточным — варианты разметки: 2 span'а главной части + придаточное / перекрытие / 2 span'а.,2,"[0,26]Решила что буду разводится; [28,84]мои родители вроде поддерживают меня но только на словах",Смешанного типа,4,"[0,6]Решила; [7,26]что буду разводится; [28,64]мои родители вроде поддерживают меня; [65,84]но только на словах",Смешанного типа,4,"[0,6]Решила; [7,26]что буду разводится; [28,64]мои родители вроде поддерживают меня; [65,84]но только на словах",Смешанного типа
108,"Родился в селе в те самые 90-е. в школе учился хорошо до класса 7-8. родила меня мать в 17 лет( ее изнасиловал мой биологический отец, выпивала, ее родители алкоголики.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",6,"[0,30]Родился в селе в те самые 90-е; [32,67]в школе учился хорошо до класса 7-8; [69,94]родила меня мать в 17 лет; [96,133]ее изнасиловал мой биологический отец; [135,143]выпивала; [145,167]ее родители алкоголики",БСП,6,"[0,30]Родился в селе в те самые 90-е; [32,67]в школе учился хорошо до класса 7-8; [69,94]родила меня мать в 17 лет; [96,133]ее изнасиловал мой биологический отец; [135,143]выпивала; [145,167]ее родители алкоголики",Смешанного типа,6,"[0,30]Родился в селе в те самые 90-е; [32,67]в школе учился хорошо до класса 7-8; [69,94]родила меня мать в 17 лет; [96,133]ее изнасиловал мой биологический отец; [135,143]выпивала; [145,167]ее родители алкоголики",Смешанного типа
109,"Родители привыкли меня опекать, мне 26 лет, но они не слышат чего хочу я, они всегда хотят навязать мне свое мнение.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,30]Родители привыкли меня опекать; [32,42]мне 26 лет; [44,72]но они не слышат чего хочу я; [74,115]они всегда хотят навязать мне свое мнение",Смешанного типа,4,"[0,30]Родители привыкли меня опекать; [32,42]мне 26 лет; [44,72]но они не слышат чего хочу я; [74,115]они всегда хотят навязать мне свое мнение",Смешанного типа,4,"[0,30]Родители привыкли меня опекать; [32,42]мне 26 лет; [44,72]но они не слышат чего хочу я; [74,115]они всегда хотят навязать мне свое мнение",Смешанного типа
110,"С каждым днем только хуже, срывы, истерики, слезы, мысли о самоубийстве вообще впереди планеты всей, только вот слаб я для того чтобы убиться, осознаю это и становится еще хуже, пытался наглотаться таблеток-не вышло как видите, плохой способ.",presuicidal_multilabel_conj,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",7,"[0,25]С каждым днем только хуже; [27,49]срывы, истерики, слезы; [51,99]мысли о самоубийстве вообще впереди планеты всей; [101,141]только вот слаб я для того чтобы убиться; [143,176]осознаю это и становится еще хуже; [178,226]пытался наглотаться таблеток-не вышло как видите; [228,241]плохой способ",Смешанного типа,10,"[0,25]С каждым днем только хуже; [27,49]срывы, истерики, слезы; [51,99]мысли о самоубийстве вообще впереди планеты всей; [101,127]только вот слаб я для того; [128,141]чтобы убиться; [143,154]осознаю это; [155,176]и становится еще хуже; [178,206]пытался наглотаться таблеток; [207,226]не вышло как видите; [228,241]плохой способ",Смешанного типа,5,"[0,99]С каждым днем только хуже, срывы, истерики, слезы, мысли о самоубийстве вообще впереди планеты всей; [101,118]только вот слаб я; [119,141]для того чтобы убиться; [143,176]осознаю это и становится еще хуже; [178,241]пытался наглотаться таблеток-не вышло как видите, плохой способ",Смешанного типа
111,"С одной стороны я может и хочу в детский дом, а умереть мне хочется больше.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,44]С одной стороны я может и хочу в детский дом; [46,74]а умереть мне хочется больше",ССП,2,"[0,44]С одной стороны я может и хочу в детский дом; [46,74]а умереть мне хочется больше",ССП,2,"[0,44]С одной стороны я может и хочу в детский дом; [46,74]а умереть мне хочется больше",СПП
112,"Сам - то я , начитавшись , оставил тачку на прокачку недалеко от исторического центра , но даже пешим порядком был удивлён , насколько зетеэлистый город .",solyanka_lj_long,other,"Разное число клауз ({'daniil': 3, 'shirin': 3, 'igor': 2}) без явного типового паттерна.",3,"[0,85]Сам - то я , начитавшись , оставил тачку на прокачку недалеко от исторического центра; [88,122]но даже пешим порядком был удивлён; [125,152]насколько зетеэлистый город",Смешанного типа,3,"[0,85]Сам - то я , начитавшись , оставил тачку на прокачку недалеко от исторического центра; [88,122]но даже пешим порядком был удивлён; [125,152]насколько зетеэлистый город",Смешанного типа,2,"[0,85]Сам - то я , начитавшись , оставил тачку на прокачку недалеко от исторического центра; [88,152]но даже пешим порядком был удивлён , насколько зетеэлистый город",СПП
113,"Создавать семью не имеет смысла, ибо дети, которых я любить все равно никогда не буду, умрут, как и я, а все что материально, конечно же, не вечно.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",5,"[0,31]Создавать семью не имеет смысла; [33,41]ибо дети; [43,85]которых я любить все равно никогда не буду; [87,101]умрут, как и я; [103,146]а все что материально, конечно же, не вечно",Смешанного типа,5,"[0,31]Создавать семью не имеет смысла; [33,41]ибо дети; [43,85]которых я любить все равно никогда не буду; [87,101]умрут, как и я; [103,146]а все что материально, конечно же, не вечно",Смешанного типа,5,"[0,31]Создавать семью не имеет смысла; [33,41]ибо дети; [43,85]которых я любить все равно никогда не буду; [87,101]умрут, как и я; [103,146]а все что материально, конечно же, не вечно",Смешанного типа
114,"Тело онемело, затряслось, пошли слезы, я задыхался.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,24]Тело онемело, затряслось; [26,37]пошли слезы; [39,50]я задыхался",БСП,3,"[0,24]Тело онемело, затряслось; [26,37]пошли слезы; [39,50]я задыхался",БСП,3,"[0,24]Тело онемело, затряслось; [26,37]пошли слезы; [39,50]я задыхался",БСП
115,"У меня была попытка суицида, после чего попал в псих-лечебницу.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,27]У меня была попытка суицида; [29,62]после чего попал в псих-лечебницу",СПП,2,"[0,27]У меня была попытка суицида; [29,62]после чего попал в псих-лечебницу",СПП,2,"[0,27]У меня была попытка суицида; [29,62]после чего попал в псих-лечебницу",СПП
116,"У меня все хорошо, трое за замечательных детей, муж, мама.",presuicidal_multilabel_bsp,other,"Разное число клауз ({'daniil': 2, 'shirin': 4, 'igor': 1}) без явного типового паттерна.",2,"[0,17]У меня все хорошо; [19,57]трое за замечательных детей, муж, мама",БСП,4,"[0,17]У меня все хорошо; [19,46]трое за замечательных детей; [48,51]муж; [53,57]мама",БСП,1,"[0,57]У меня все хорошо, трое за замечательных детей, муж, мама",Не сложное
117,"У меня есть семья, нет острой необходимости работать, огромное количество свободного времени, есть хобби.",presuicidal_multilabel_bsp,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",4,"[0,17]У меня есть семья; [19,52]нет острой необходимости работать; [54,92]огромное количество свободного времени; [94,104]есть хобби",БСП,4,"[0,17]У меня есть семья; [19,52]нет острой необходимости работать; [54,92]огромное количество свободного времени; [94,104]есть хобби",БСП,1,"[0,104]У меня есть семья, нет острой необходимости работать, огромное количество свободного времени, есть хобби",Не сложное
118,"У меня есть сын, я его очень очень люблю.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,15]У меня есть сын; [17,40]я его очень очень люблю",БСП,2,"[0,15]У меня есть сын; [17,40]я его очень очень люблю",БСП,2,"[0,15]У меня есть сын; [17,40]я его очень очень люблю",БСП
119,"У меня мягкий характер, я веселая, общительная, но не навязчивая, всегда всем помогаю, пытаюсь поддерживать и никогда не сделаю никому плохого.",presuicidal_monolabel_long,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,3,"[0,22]У меня мягкий характер; [24,64]я веселая, общительная, но не навязчивая; [66,142]всегда всем помогаю, пытаюсь поддерживать и никогда не сделаю никому плохого",БСП,3,"[0,22]У меня мягкий характер; [24,64]я веселая, общительная, но не навязчивая; [66,142]всегда всем помогаю, пытаюсь поддерживать и никогда не сделаю никому плохого",БСП,1,"[0,142]У меня мягкий характер, я веселая, общительная, но не навязчивая, всегда всем помогаю, пытаюсь поддерживать и никогда не сделаю никому плохого",Не сложное
120,"У меня нет опыта в общении, не когда не общался с противоположным полом, и со своим тоже.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,26]У меня нет опыта в общении; [28,88]не когда не общался с противоположным полом, и со своим тоже",БСП,2,"[0,26]У меня нет опыта в общении; [28,88]не когда не общался с противоположным полом, и со своим тоже",БСП,2,"[0,26]У меня нет опыта в общении; [28,88]не когда не общался с противоположным полом, и со своим тоже",БСП
121,"У меня тоже жёсткие родители, я их ненавижу, тем более всю семью свою кошку всех вообще чтобы они сдохли все я мечтаю съехать из дому и жить отдельно года считаю скорее бы мать и отец сердятся на меня были попытки суицида и все неудачные помогрте пожалуйста другие нормальные люди заводят семьи а я как кусок дерьма ни новой семьи ничего живу с рваньем и старьем я жить не хочу",presuicidal_multilabel_conj,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",12,"[0,28]У меня тоже жёсткие родители; [30,87]я их ненавижу, тем более всю семью свою кошку всех вообще; [88,108]чтобы они сдохли все; [109,149]я мечтаю съехать из дому и жить отдельно; [150,171]года считаю скорее бы; [172,200]мать и отец сердятся на меня; [201,237]были попытки суицида и все неудачные; [238,257]помогрте пожалуйста; [258,294]другие нормальные люди заводят семьи; [295,337]а я как кусок дерьма ни новой семьи ничего; [338,362]живу с рваньем и старьем; [363,377]я жить не хочу",Смешанного типа,15,"[0,28]У меня тоже жёсткие родители; [30,43]я их ненавижу; [45,87]тем более всю семью свою кошку всех вообще; [88,108]чтобы они сдохли все; [109,149]я мечтаю съехать из дому и жить отдельно; [150,171]года считаю скорее бы; [172,200]мать и отец сердятся на меня; [201,221]были попытки суицида; [222,237]и все неудачные; [238,257]помогрте пожалуйста; [258,294]другие нормальные люди заводят семьи; [295,315]а я как кусок дерьма; [316,337]ни новой семьи ничего; [338,362]живу с рваньем и старьем; [363,377]я жить не хочу",Смешанного типа,10,"[0,28]У меня тоже жёсткие родители; [30,87]я их ненавижу, тем более всю семью свою кошку всех вообще; [88,108]чтобы они сдохли все; [109,171]я мечтаю съехать из дому и жить отдельно года считаю скорее бы; [172,200]мать и отец сердятся на меня; [201,237]были попытки суицида и все неудачные; [238,257]помогрте пожалуйста; [258,294]другие нормальные люди заводят семьи; [295,362]а я как кусок дерьма ни новой семьи ничего живу с рваньем и старьем; [363,377]я жить не хочу",Смешанного типа
122,"Удивительно , но почему-то с начала 19 - го до конца 20 - го века никто это связно объяснить не мог , и все высказывания религиозных людей оставались где-то на уровне спекуляций в духе « человек должен Богу » .",solyanka_lj_long,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",3,"[0,11]Удивительно; [14,99]но почему-то с начала 19 - го до конца 20 - го века никто это связно объяснить не мог; [102,206]и все высказывания религиозных людей оставались где-то на уровне спекуляций в духе « человек должен Богу",Смешанного типа,4,"[0,11]Удивительно; [14,99]но почему-то с начала 19 - го до конца 20 - го века никто это связно объяснить не мог; [102,184]и все высказывания религиозных людей оставались где-то на уровне спекуляций в духе; [187,206]человек должен Богу",Смешанного типа,3,"[0,99]Удивительно , но почему-то с начала 19 - го до конца 20 - го века никто это связно объяснить не мог; [102,184]и все высказывания религиозных людей оставались где-то на уровне спекуляций в духе; [187,206]человек должен Богу",Смешанного типа
123,"Уже в 16 у меня появились мысли о суициде, мне не для чего жить, себя я не люблю да и мама меня тоже не любит.",presuicidal_multilabel_conj,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",3,"[0,41]Уже в 16 у меня появились мысли о суициде; [43,63]мне не для чего жить; [65,109]себя я не люблю да и мама меня тоже не любит",Смешанного типа,4,"[0,41]Уже в 16 у меня появились мысли о суициде; [43,63]мне не для чего жить; [65,80]себя я не люблю; [81,109]да и мама меня тоже не любит",Смешанного типа,4,"[0,41]Уже в 16 у меня появились мысли о суициде; [43,63]мне не для чего жить; [65,80]себя я не люблю; [81,109]да и мама меня тоже не любит",Смешанного типа
124,"Украинский народ, помня, какие жертвы принесла ему эта война, никогда не простит этого и будет мстить.",solyanka_lenta_long,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,3,"[0,23]Украинский народ, помня; [25,60]какие жертвы принесла ему эта война; [62,101]никогда не простит этого и будет мстить",СПП,1,"[0,101]Украинский народ, помня, какие жертвы принесла ему эта война, никогда не простит этого и будет мстить",Не сложное,3,"[0,23]Украинский народ, помня; [25,60]какие жертвы принесла ему эта война; [62,101]никогда не простит этого и будет мстить",СПП
125,"Уровнем ниже этих умов , наделённых выдающимися способностями , но , тем не менее , нормальных , пасётся огромное стадо обычных существ , не отличающихся никакими талантами .",solyanka_lj_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,172]Уровнем ниже этих умов , наделённых выдающимися способностями , но , тем не менее , нормальных , пасётся огромное стадо обычных существ , не отличающихся никакими талантами",Не сложное,1,"[0,172]Уровнем ниже этих умов , наделённых выдающимися способностями , но , тем не менее , нормальных , пасётся огромное стадо обычных существ , не отличающихся никакими талантами",Не сложное,1,"[0,172]Уровнем ниже этих умов , наделённых выдающимися способностями , но , тем не менее , нормальных , пасётся огромное стадо обычных существ , не отличающихся никакими талантами",Не сложное
127,"Ушел в никуда с ненавистной мне работы, безвылазно сижу дома.",presuicidal_multilabel_bsp,other,"Разное число клауз ({'daniil': 2, 'shirin': 2, 'igor': 1}) без явного типового паттерна.",2,"[0,38]Ушел в никуда с ненавистной мне работы; [40,60]безвылазно сижу дома",БСП,2,"[0,38]Ушел в никуда с ненавистной мне работы; [40,60]безвылазно сижу дома",БСП,1,"[0,60]Ушел в никуда с ненавистной мне работы, безвылазно сижу дома",Не сложное
