text,spans,label
"за то что просто не прислушиваюсь к советам и словам были и такие люди, возможно и вы будете меня критиковать не прямо, но молча так сказать, я уже ничему не удивлюсь.","[(0, 52, 'clause'), (53, 70, 'clause'), (72, 140, 'clause'), (142, 166, 'clause')]",
"Вот правда, я с теплом вспоминаю многие приятные моменты из прошлого, и очень много мечтаю о жизни и о том, что хотела бы сделать, но.","[(0, 68, 'clause'), (70, 106, 'clause'), (108, 133, 'clause')]",
"ребенку почти 3 года, а он не разговаривает, и в этом винит меня, мол я не занимаюсь ребенком.","[(0, 20, 'clause'), (22, 43, 'clause'), (45, 64, 'clause'), (66, 93, 'clause')]",
"Тогда я уже работал с собой, понимал постепенно, что диагноза депрессии особо быть не может ( в моем понимании, ага.","[(0, 47, 'clause'), (49, 115, 'clause')]",
"Переехала к родителям, с которыми уже давно разъехались, так все не привычно, так все по идиотски, я не могу.","[(0, 21, 'clause'), (23, 55, 'clause'), (57, 76, 'clause'), (78, 97, 'clause'), (99, 108, 'clause')]",
"нет, не надо думать, что я сейчас буду плакать, какая у меня плохая жизнь, все меня не любят, мне так тяжело жить, нет.","[(0, 3, 'clause'), (5, 19, 'clause'), (21, 46, 'clause'), (48, 73, 'clause'), (75, 92, 'clause'), (94, 113, 'clause'), (115, 118, 'clause')]",
"при этом я где то в глубине души понимала, что мне нужно совсем другое и не там я ищу и прощание с церковью-моя роковая ошибка, что я не такая сильная, как мне хотелось думмать.","[(0, 41, 'clause'), (43, 70, 'clause'), (71, 85, 'clause'), (86, 126, 'clause'), (128, 150, 'clause'), (152, 176, 'clause')]",
"Я с ним успела поговорить, он мне сказал что я его не понимаю, не люблю и т. д, сказал что он теперь вообще ничего не хочет( я это поняла как то, что он не хочет продолжения отношений.","[(0, 25, 'clause'), (27, 78, 'clause'), (80, 144, 'clause'), (146, 183, 'clause')]",
"Почему вместо вечерней пробежки они идут и нажираются ( извините) до поросячьего визга, почему они вместо любви к животным - их убивают, мне не понять, Я ПРЕЗИРАЮ, не нужно мне говорить, что они маленькие и ничего не понимают, всё они прекрасно понимают и до достижения 14 лет чаще всего больше всего и косячат, пользуясь своей безнаказанностью.","[(0, 86, 'clause'), (88, 135, 'clause'), (137, 150, 'clause'), (152, 162, 'clause'), (164, 185, 'clause'), (187, 225, 'clause'), (227, 344, 'clause')]",
"В школе и во дворе надо мной издевались, а он говорил: потому что ты неудачница, ты этого заслуживаешь.","[(0, 39, 'clause'), (41, 53, 'clause'), (55, 79, 'clause'), (81, 102, 'clause')]",
Так как у меня была еще попытка суицида) И все таки время прошло и у меня завязались с ним( Вася) отношения!,"[(0, 39, 'clause'), (41, 64, 'clause'), (65, 107, 'clause')]",
Собственная смерть не так страшна как смерть близких и вот только мысль о них и как им дальше быть сдерживает от суицида.,"[(0, 52, 'clause'), (53, 120, 'clause')]",
"Нас с мамой рано бросил отец( ушел к другой и уехал за границу, мама очень сильно заболела эпилепсией( бывало по 20 приступов за день, мамина сестра тоже болела эпилепсией и жила с нами.","[(0, 28, 'clause'), (30, 62, 'clause'), (64, 101, 'clause'), (103, 133, 'clause'), (135, 185, 'clause')]",
"Я любима, есть друзья, добиваюсь чего хочу, есть цели к которым иду, самостоятельна, самодостаточна, не глупа, на внешность не жалуюсь, вроде бы что ещё не хватает?","[(0, 8, 'clause'), (10, 21, 'clause'), (23, 32, 'clause'), (33, 42, 'clause'), (44, 53, 'clause'), (54, 67, 'clause'), (69, 134, 'clause'), (136, 163, 'clause')]",
"Но правда ощущение пиздеца или пиздеца одиночества У меня будто по жизни блин все или ничего, даже если я решил отказаться от такого, то люди блин вокруг наоборот","[(0, 92, 'clause'), (94, 132, 'clause'), (134, 162, 'clause')]",
"Однажды меня даже затащили в заброшенный дом, когда я один гулял рядом с этим домом, и начали с ножом пытать, но я успел убежать с небольшими порезами, и ничего никому не говорил, так как было очень страшно.","[(0, 44, 'clause'), (46, 83, 'clause'), (85, 108, 'clause'), (110, 150, 'clause'), (152, 178, 'clause'), (180, 206, 'clause')]",
"Ее подруги (которых я считал и своими подругами) теперь говорят что мол, мы ее понимаем, нам тоже хотелось погулять, новые знакомства, парни и тд.","[(0, 63, 'clause'), (64, 87, 'clause'), (89, 115, 'clause'), (117, 133, 'clause'), (135, 145, 'clause')]",
"Я бы лучше прожил один день, но хотя бы без одной из этих проблем, чем все жизнь с ежедневной битвой внутри себя.","[(0, 112, 'clause')]",
"Вот уже года 3, как я мучаюсь самым постыдным и ужасным недугом, матерью всех пороков - ленью.","[(0, 14, 'clause'), (16, 93, 'clause')]",
"Не могу его никак растрясти, от этого сама впадаю в депрессию: ""Я ни на что не способна, зачем я ему такая нужна, что же делать. ""","[(0, 27, 'clause'), (29, 61, 'clause'), (64, 87, 'clause'), (89, 112, 'clause'), (114, 127, 'clause')]",
"Но не тут то было - вместо радости получил очередную порцию обид что я плохо стараюсь и надо лучше крутится, что бы было ещё больше.","[(0, 17, 'clause'), (20, 64, 'clause'), (65, 85, 'clause'), (86, 107, 'clause'), (109, 131, 'clause')]",
"При родителях или друзьях я веду себя нормально, а вот наедине сама с собой впадаю в истерику, которая в дальнейшем приводит к плохому самочувствию.","[(0, 47, 'clause'), (49, 93, 'clause'), (95, 147, 'clause')]",
", подруги"" стали ужасно ко мне относится а я ведь тоже человек( мне ведь тоже хочется с кем то поговорить не ругаясь.","[(2, 40, 'clause'), (41, 62, 'clause'), (64, 116, 'clause')]",
"Я даже просил полицейского следователя оформить мне явку с повинной за чужое преступление, что бы отправиться в места лишения свободы, но был поднят на смех перед его коллегами и выпровожен за дверь отделения.","[(0, 89, 'clause'), (91, 133, 'clause'), (135, 208, 'clause')]",
"Здравствуйте, мне 19 лет, я учусь на 2 курсе на факультете мировой экономики, школу окончила с отличием, с внешностью всё более чем хорошо(голубо-зеленые глаза, пухлые от природы и розовые губы, длинные и пушистые ресници, красивый овал лица, длинные светлые волосы, фигура очень красивая, от парней нет отбоя, даже когда мне было всего 4годика, парни в садике уже за меня дрались, но мне сейчас не до них:важнее учеба.","[(0, 12, 'clause'), (14, 24, 'clause'), (26, 76, 'clause'), (78, 103, 'clause'), (105, 138, 'clause'), (139, 159, 'clause'), (161, 193, 'clause'), (195, 221, 'clause'), (223, 241, 'clause'), (243, 265, 'clause'), (267, 288, 'clause'), (290, 309, 'clause'), (311, 344, 'clause'), (346, 380, 'clause'), (382, 405, 'clause'), (406, 418, 'clause')]",
"К тому моменту никакого имущества я уже не имел, доходы мои едва покрывали проценты по кредитам, а еще нужно детей обеспечивать, квартиру снимать, кушать в конце концов.","[(0, 47, 'clause'), (49, 95, 'clause'), (97, 168, 'clause')]",
"Ведь мы живём всю жизнь стараясь не думать, что в любой момент она может прекратиться и перечеркнуть все оздоровительные процедуры и планы личного развития и обогащения.","[(0, 42, 'clause'), (44, 168, 'clause')]",
"Я писала и пишу стихи, раньше только на суицидальные темы, где как правило умирала я, мысли эти мне просто не давали покоя.","[(0, 57, 'clause'), (59, 84, 'clause'), (86, 122, 'clause')]",
"Ну и совсем были дебильные советы - начни ходить по клубам и бухать, я последние годы как раз бухал, правда в одну каску, и с каждой пьянкой чувствовал себя все большим дерьмом, да и здоровье оставшееся поберечь надо.","[(0, 33, 'clause'), (36, 67, 'clause'), (69, 176, 'clause'), (178, 216, 'clause')]",
"А после папиных неудач в бизнесе, чтобы нас окончательно добить и мы никуда не высовывались, не требовали вернуть квартиру, эти люди завели на папу 2 уголовных дела по сфабрикованному, лживому обвинению, в результате чего он очень нервничал, не занимался своим здоровьем и полностью ослеп.","[(34, 63, 'clause'), (64, 122, 'clause'), (124, 202, 'clause'), (204, 288, 'clause')]",
"В настоящее время я работаю и не работаю, т. е. в связи с тем, что на меня возбудили уголовное дело.","[(0, 40, 'clause'), (42, 99, 'clause')]",
И дело в том что я знаю почему и отчего я несчастна в жизни но ничего не могу с собой поделать.,"[(0, 12, 'clause'), (13, 59, 'clause'), (60, 94, 'clause')]",
"Он не стал непосредственно исцелять меня, но указал мне важные истины, которые позволили мне решить проблему самому ( как это произошло – отдельная история.","[(0, 40, 'clause'), (42, 69, 'clause'), (71, 115, 'clause'), (118, 135, 'clause'), (138, 155, 'clause')]",
сначала они потом всё остальное) пейринг который мне понравился будет гетом Дань Хэн/Март7 такие замечательные 😭🤲 у неё на стене фотографии совместные ну я не могу,"[(0, 31, 'clause'), (33, 110, 'clause'), (114, 163, 'clause')]",
"Я учусь на философском факультете-и до ВУЗа я имел привычку постоянно рифлексировать, а теперь все чаще эти рифлексии уходят в негатив.","[(0, 33, 'clause'), (34, 84, 'clause'), (86, 134, 'clause')]",
"Может проблема в том, что я раньше занимался спортом, был баскетболистом, потом перестал и оброс как бирюк.","[(0, 20, 'clause'), (22, 106, 'clause')]",
я правда больше не хочу учиться я ВООБЩЕ больше не хочу переступать порог этого здания я бы уже забрала документы хоть сегодня оттуда,"[(0, 31, 'clause'), (32, 86, 'clause'), (87, 133, 'clause')]",
"Я могу часами просто лежать или смотреть в окно, стала чаще плакать, вот сегодня снова рыдала из-за всего этого.","[(0, 47, 'clause'), (49, 67, 'clause'), (69, 111, 'clause')]",
"В классе меня гнобили - толстый, но это не страшно, я особого внимания на это не выделял.","[(0, 21, 'clause'), (24, 31, 'clause'), (33, 50, 'clause'), (52, 88, 'clause')]",
"И всё равно я отчётливо чувствую, что если бы всё дерьмо изнутри моего разума прорвало прямо на лица моих близких, моей девушки, и ваши лица - от меня бы все отказались.","[(0, 32, 'clause'), (34, 140, 'clause'), (143, 168, 'clause')]",
"Не буду описывать подробно, но суть заключалась в том, что меня посвятили в зло, сделали демоном против моей воли!","[(0, 26, 'clause'), (28, 53, 'clause'), (55, 113, 'clause')]",
"как любой классический потерянный человек, я не могу конкретно сформулировать причину по которой меня не устраивает моя жизнь.","[(0, 85, 'clause'), (86, 125, 'clause')]",
"Это было конечно не раз. Но для меня каждый раз как последний, у меня возникают мысли о суициде, часто.","[(0, 23, 'clause')]",
"( Да простят меня верующие) Нет такого понятия как зло и добро, есть необдуманные поступки и случайности.","[(2, 26, 'clause'), (28, 62, 'clause'), (64, 104, 'clause')]",
"Просто поцелуй меня, не надо говорить «Спасибо» Я тот самый, кто не будет повторять это снова Талантливый подкат для талантливой особы! ""","[(0, 19, 'clause'), (21, 47, 'clause'), (48, 59, 'clause'), (61, 93, 'clause'), (94, 134, 'clause')]",
"Здравствуйте, расскажу вам свои взгдяды на то, почему многие в общем неплохие парни сейчас часто испытывают депрессию.","[(0, 45, 'clause'), (47, 117, 'clause')]",
"Ещё в среднем школьном возрасте понял, что абсолютно не вижу себе места среди так называемых профессий и видов деятельности, которые предлагал этот мир, осознал, что я здесь в полной продолжающейся и поныне прострации.","[(0, 37, 'clause'), (39, 123, 'clause'), (125, 151, 'clause'), (153, 160, 'clause'), (162, 217, 'clause')]",
"Я не хочу чувствовать солнце на своей коже, не хочу думать о том, чем наполняются мои легкие, не могу улыбаться чему-то забавному.","[(0, 42, 'clause'), (44, 64, 'clause'), (66, 92, 'clause'), (94, 129, 'clause')]",
"Я скучаю по бывшему другу, хоть и знаю что он сам во всем виноват, но почему то не могу отпустить.","[(0, 25, 'clause'), (27, 38, 'clause'), (39, 65, 'clause'), (67, 97, 'clause')]",
"Иногда мне кажется, что я просыпаюсь с мыслью о том, что хорошо бы случайненько так сегодня умереть.","[(0, 18, 'clause'), (20, 51, 'clause'), (53, 99, 'clause')]",
"КАК ЖЕ МНЕ СЛОЖНО ДАЁТСЯ ЭТО ПИСАТЬ КАК ЖЕ МНЕ СТЫДНО ЗА ТАКОЙ БИО МУСОР КАК Я. Я ужасно боюсь врачей, но ещё больше я боюсь того, что родители или кто-то из моего окружения узнает, что у меня хоть что-то малейшее не в порядке (а это очевидно, я чувствую что рассыпаюсь на части, есть кое какие симптомы, но рука не поднимается здесь это расписывать и вообще вспоминать об этом) Тогда я точно суициднусь.","[(0, 35, 'clause'), (36, 78, 'clause'), (80, 101, 'clause'), (103, 129, 'clause'), (131, 180, 'clause'), (182, 226, 'clause'), (228, 242, 'clause'), (244, 254, 'clause'), (255, 278, 'clause'), (280, 303, 'clause'), (305, 377, 'clause'), (379, 403, 'clause')]",
"Из-за моей больной шеи я просто не могу сидеть за столом(а мне надо готовиться к экзаменам, так как боли от этого усиливаются и возникают боли в затылке и в лобных долях, также из-за этого моя походка стала шаткой и постоянно дрожат руки.","[(0, 56, 'clause'), (57, 90, 'clause'), (92, 125, 'clause'), (126, 169, 'clause'), (171, 213, 'clause'), (214, 237, 'clause')]",
"К их смерти отнеслась нейтрально, но потом весь негатив, все накопленные эмоции стали выходить спустя два злосчастных года.","[(0, 32, 'clause'), (34, 122, 'clause')]",
"Когда пришла забирать документы, наткнулась на своего куратора, который решил, что у меня проблемы с группой ( хотя это не безосновательно, но это не является причиной моего ухода.","[(0, 31, 'clause'), (33, 62, 'clause'), (64, 77, 'clause'), (79, 108, 'clause'), (111, 138, 'clause'), (140, 179, 'clause')]",
"Мне все говорят, что мужчина в таком возрасте должен ощущать огонь в груди и желание расти и бороться, но как бы я себя не подгонял, чувствую только бесконечную вялость, уныние и тоску.","[(0, 15, 'clause'), (17, 101, 'clause'), (103, 131, 'clause'), (133, 184, 'clause')]",
"Друзей у меня нет, близких тоже, есть молодой человек с которым я планировала расписаться, но наступила война, и родители приехали к нам.","[(0, 17, 'clause'), (19, 31, 'clause'), (33, 53, 'clause'), (54, 89, 'clause'), (91, 109, 'clause'), (111, 136, 'clause')]",
"Самое главное, болезнь можно было излечить, если бы я обратился к врачам в первый даже, может быть, целый месяц.","[(0, 42, 'clause'), (44, 111, 'clause')]",
"На перемене все расходятся погулять по школе, я же остаюсь, потому что эта деревня ничего не хочет, кроме сидеть и на всех злость срывать.","[(0, 44, 'clause'), (46, 58, 'clause'), (60, 137, 'clause')]",
"При моем появлении в этом аду в так называемом ""жизнь"" от меня сначала отказалась та что родила, а затем и оставила та что стала той настоящей мамой.","[(0, 84, 'clause'), (85, 95, 'clause'), (97, 118, 'clause'), (119, 148, 'clause')]",
"Трудна как то жизнь сложилась, в прошлом самоубийства отца в 49 лет, через 16 лет младший брат покончил с собой в 28 лет, спившаяся мать, ну дочь практически один воспитал, уже 2х внуков имею.","[(0, 29, 'clause'), (31, 67, 'clause'), (69, 120, 'clause'), (122, 136, 'clause'), (138, 171, 'clause'), (173, 191, 'clause')]",
"# Депрессия у тебя в голове, никто не знает твою борьбу, но только ты можешь закончить ее.","[(2, 27, 'clause'), (29, 55, 'clause'), (57, 89, 'clause')]",
"Я знаю, у вас есть реальные тяжелые проблемы, а я полная дура и идиотка, несу тут этот бред.","[(0, 6, 'clause'), (8, 44, 'clause'), (46, 91, 'clause')]",
"Причем страшно не то что я говорил что раскаиваюсь, страшно то что я каждый раз это проживал, именно это и требовалось.","[(7, 20, 'clause'), (21, 34, 'clause'), (35, 50, 'clause'), (52, 62, 'clause'), (63, 92, 'clause'), (94, 118, 'clause')]",
"После каждого скандала с матерью тыкает мне под нос, что она конфликтует с ним из-за меня и младшего брата.","[(0, 51, 'clause'), (53, 106, 'clause')]",
"я в какой то степени тоже живу в своем мирке у меня почти нет друзей, а точнее их нет.","[(0, 44, 'clause'), (45, 68, 'clause'), (70, 85, 'clause')]",
"Когда я кого либо прошу прекратить, меня посылают, когда я спрашиваю, почему они издеваются надо мной, они отвечают""мне нравится, как ты бомбишь""","[(0, 34, 'clause'), (36, 49, 'clause'), (51, 68, 'clause'), (70, 101, 'clause'), (103, 115, 'clause'), (116, 128, 'clause'), (130, 144, 'clause')]",
"Мне трудно вставать по утрам, мне трудно куда-то звонить, трудно куда-то идти, трудно делать даже элементарные бытовые дела, трудно общаться с людьми, трудно жить.","[(0, 28, 'clause'), (30, 56, 'clause'), (58, 77, 'clause'), (79, 123, 'clause'), (125, 149, 'clause'), (151, 162, 'clause')]",
"Её не волнует что я хочу от этой жизни, родители говорят, что это для моего же блага, что они хотят меня защитить.","[(0, 13, 'clause'), (14, 38, 'clause'), (40, 56, 'clause'), (58, 84, 'clause'), (86, 113, 'clause')]",
"Сегодня я с хорошим настроением смотрю сериал, а завтра лежу на полу бессмысленно глядя в потолок, ведь нет ничего, что могло бы принести мне удовольствие.","[(0, 45, 'clause'), (47, 97, 'clause'), (99, 114, 'clause'), (116, 154, 'clause')]",
"Но потом мне стало открываться, что не так уж важно есть ли физически кто-то рядом или нет, одиночество и любовь это немного про другое.","[(0, 30, 'clause'), (32, 51, 'clause'), (52, 90, 'clause'), (92, 135, 'clause')]",
"Наверное моя история будет сильно отличаться от других, но я нахожусь в такой крайней степени отчаяния, что ищу любую помощь.","[(0, 54, 'clause'), (56, 102, 'clause'), (104, 124, 'clause')]",
"Одевали меня не очень современно мягко говоря, плюс с детства я перенесла несколько операции на глаза, ибо врожденное косоглазие.","[(0, 45, 'clause'), (47, 101, 'clause'), (103, 128, 'clause')]",
"Что со мной было, не опишу, но было по настоящему больно даже физически, телефон отключен, а к нему домой.","[(0, 16, 'clause'), (18, 26, 'clause'), (28, 71, 'clause'), (73, 89, 'clause'), (91, 105, 'clause')]",
"Да самоубийство это плохо, но все таки сколько людей уже это сделали, и их забыли давным давно.","[(0, 25, 'clause'), (27, 68, 'clause'), (70, 94, 'clause')]",
"Я ничтожество, я никогда ничего не добьюсь, я уродина, я никому не нужная, я ленивая, мне ничего не нужно.","[(0, 13, 'clause'), (15, 42, 'clause'), (44, 53, 'clause'), (55, 73, 'clause'), (75, 84, 'clause'), (86, 105, 'clause')]",
"Это чертовски больно, когда кто-то заставляет тебя чувствовать себя особенным, а потом внезапно оставляет тебя висеть, и тебе приходится действовать так, как будто тебе все равно.","[(0, 20, 'clause'), (22, 117, 'clause'), (119, 152, 'clause'), (154, 178, 'clause')]",
"Но в то же врем я осознаю, что никогда не смогу, потому что такой я рождена - эгоистичной, жестокой, неспособной любить.","[(0, 25, 'clause'), (27, 47, 'clause'), (49, 119, 'clause')]",
"Несмотря на внешние изменения меня каждый второй месяц сваливает депрессия, картина мира меняется полностью: вижу негатив во всем, в буквальном смысле, до самых мелких ситуаций.","[(0, 74, 'clause'), (76, 107, 'clause'), (109, 176, 'clause')]",
"Чувствую как он меня вытаскивает везде, ещё и перед ним стыдно бывает, что он меня успокоил, а у меня опять та же песня.","[(0, 8, 'clause'), (9, 38, 'clause'), (40, 69, 'clause'), (71, 91, 'clause'), (93, 119, 'clause')]",
"Я не знаю что с вами делать, люди, неужели, я одна такая и никто меня так и не поймет?","[(0, 9, 'clause'), (10, 27, 'clause'), (35, 56, 'clause'), (57, 85, 'clause')]",
Мне 21 год у меня один сыночек муж умер год назад ему было 23 года несчастный случай отравлся угарным газом &#128546; ели как это перенисла.,"[(0, 10, 'clause'), (11, 30, 'clause'), (31, 49, 'clause'), (50, 66, 'clause'), (67, 107, 'clause')]",
"Я мечтаю вырваться за границу и постараться остаться там жить( в этом нужна помощь папы, но он все время что-то откладывает на следующий год, мол я еще слишком мала и не самостоятельна!","[(0, 61, 'clause'), (63, 87, 'clause'), (89, 140, 'clause'), (142, 184, 'clause')]",
"И что ждет впереди меня и мое поколение: в массе своей это голод, холод, разруха, НИЩЕТА, СТРАШНАЯ НИЩЕТА и БЕЗЫСХОДНОСТЬ!","[(0, 39, 'clause'), (41, 121, 'clause')]",
"У меня было в жизни достаточно любви, я доволен этим и не стремлюсь больше найти кого-то, достаточно.","[(0, 36, 'clause'), (38, 100, 'clause')]",
"Я устал, все так сложно, у меня нет сил, в голове все путается, я просто не понимаю, что я делаю хорошо, что плохо, мне очень хотелось бы жить ради одного человека, но сил нет совсем.","[(0, 7, 'clause'), (9, 23, 'clause'), (25, 39, 'clause'), (41, 62, 'clause'), (64, 83, 'clause'), (85, 103, 'clause'), (105, 114, 'clause'), (116, 163, 'clause'), (165, 182, 'clause')]",
"Кстати О Муже, от него тоже никакой поддержки, только одни упреки, что я его не люблю.","[(0, 45, 'clause'), (47, 65, 'clause'), (67, 85, 'clause')]",
"одногруппники осуждают меня, что осталось чуть до учиться, что я сама лентяй и не хочу учить ничего.","[(0, 27, 'clause'), (29, 57, 'clause'), (59, 99, 'clause')]",
"Появились навязчивые мысли убить себя, и я начал с этим смиряться, я перестал бояться представлять как я кончаю с жизнью.","[(0, 37, 'clause'), (39, 65, 'clause'), (67, 98, 'clause'), (99, 120, 'clause')]",
"На это он опять же заорал на меня, что я жалкое гавно, что я ничего не достигну в этой жизни и умру на помойке.","[(0, 33, 'clause'), (35, 53, 'clause'), (55, 110, 'clause')]",
"Если я не вылезу из этой жопы, и у меня все-таки будет судимость, то все планы будут нарушены, а жизнь испорчена.","[(0, 29, 'clause'), (31, 64, 'clause'), (66, 93, 'clause'), (95, 112, 'clause')]",
"Учусь в вузе, друзей среди одногруппников нет, есть подруги с которыми знакома с детства, видимся редко, да я понимаю в чем проблема, не хотят позорится и идти куда либо с чудовищем.","[(0, 12, 'clause'), (14, 45, 'clause'), (47, 59, 'clause'), (60, 88, 'clause'), (90, 103, 'clause'), (105, 117, 'clause'), (118, 132, 'clause'), (134, 181, 'clause')]",
"Друзей нет, так как я живу в маленьком городе в чужой для меня стране, коренных жителей которых, я не люблю из-за лицемерия и вообще менталитета.","[(0, 10, 'clause'), (12, 69, 'clause')]",
"После смерти бабушки у матери начались истерики, постоянные упреки в мой адрес, чт оя не перевез её в город, что ничего за 7 лет работы не добился ( я неплохо знаю компьютер, изучил бухгалтерские программы, умею немного программировать, вот на этом и зарабатываю.","[(80, 107, 'clause'), (109, 146, 'clause'), (149, 262, 'clause')]",
"Антидепрессанты я сейчас бросил, хоть они и помогают решить многие проблемы, новым человеком они тебя не сделают.","[(0, 31, 'clause'), (33, 75, 'clause'), (77, 112, 'clause')]",
"Моя проблема в том, что я не понимаю математику и не могу сдать её, сколько бы я не готовилась.","[(0, 18, 'clause'), (20, 66, 'clause'), (68, 94, 'clause')]",
"Я не считаю себя уродиной, я признаю, у меня есть недостатки, но когда, от многих разных людей слышишь ""страшная"", это влияет на поведение в обществе.","[(0, 25, 'clause'), (27, 36, 'clause'), (38, 60, 'clause'), (115, 149, 'clause')]",
"Самое большое счастье для меня - это те волшебные ощущения после приема, а самый большой ужас - это то, что время между перерывами становится все меньшим.","[(0, 71, 'clause'), (73, 102, 'clause'), (104, 153, 'clause')]",
"Этот момент я очень трудно перенесла, ведь у нас были планы переидти в школу с ней, очень много говорила с ней об этом, она вроде бы соглашалась, но родители решили уехать.","[(0, 36, 'clause'), (38, 82, 'clause'), (84, 118, 'clause'), (120, 144, 'clause'), (146, 171, 'clause')]",
"я боюсь мне страшно, жалко папу, потому что он меня любит и хочет, чтобы все было хорошо, но я ущербна и ничего не могу с этим поделать.","[(0, 7, 'clause'), (8, 19, 'clause'), (21, 31, 'clause'), (33, 65, 'clause'), (67, 88, 'clause'), (90, 135, 'clause')]",
"Никто никогда не смог бы подумать, что у меня есть проблемы, если бы познакомился со мной вживую.","[(0, 33, 'clause'), (35, 59, 'clause'), (61, 96, 'clause')]",
"К лету самочувствие улучшилось, и, возможно, это было еще одной причиной, почему я не реализовал тогда свой план ( попытка была летом.","[(0, 30, 'clause'), (32, 72, 'clause'), (74, 112, 'clause'), (115, 133, 'clause')]",
"Друзей по сути нет, есть старые товарищи ещё по школе, мне просто элементарно не с кем поговорить.","[(0, 18, 'clause'), (20, 53, 'clause'), (55, 97, 'clause')]",
"Так получилось, что я постоянно менял место жительства и, соответственно, школы, т. к. родители были военными и мы часто переезжали.","[(0, 14, 'clause'), (16, 79, 'clause'), (81, 109, 'clause'), (110, 131, 'clause')]",
"Я вся больная-разваливаюсь на куски, то голова болит, то сердце, то желудок, уже спать не могу.","[(0, 35, 'clause'), (37, 52, 'clause'), (54, 63, 'clause'), (65, 75, 'clause'), (77, 94, 'clause')]",
"Мне не нужен рай - я хочу сесть на песчаном берегу теплого моря взять на ручки моего пёсика и улыбаться, ощущая спокойствие и безмерное чувство Любви двух душ.","[(0, 16, 'clause'), (19, 158, 'clause')]",
"По идее я их содержать должна была бы, но уменя зарплата такая, что с мужем самим еле хватает.","[(0, 37, 'clause'), (39, 62, 'clause'), (64, 93, 'clause')]",
"смотрю на себя на фотографиях и вижу перекошенное лицо, одна бровь выше, глаз тоже, щеки разные.","[(0, 54, 'clause'), (56, 71, 'clause'), (73, 82, 'clause'), (84, 95, 'clause')]",
"Я не могу ничего делать из за депрессии, кажется что из за этого я вообще не смогу выйти замуж.","[(0, 39, 'clause'), (41, 48, 'clause'), (49, 94, 'clause')]",
"Иногда я думаю, что у меня едет крыша, и может я вру, все было не так, или я все так воспринимала.","[(0, 14, 'clause'), (16, 37, 'clause'), (39, 52, 'clause'), (54, 69, 'clause'), (71, 97, 'clause')]",
"Я не знаю чем ей помочь, время от времени у меня получается, конечно, вырвать зубами пару тысяч у отца и ей отослать - но это так редко, что толком ей ничего это не даёт.","[(0, 23, 'clause'), (25, 116, 'clause'), (119, 135, 'clause'), (137, 169, 'clause')]",
"P. S. Я не очень хочу покончить с собой, если бы хотел - не написал бы сюда, а просто бы нажрался таблеток -мой труп бы нашли только через 5 дней, пока домработница не придёт.","[(6, 39, 'clause'), (41, 54, 'clause'), (57, 106, 'clause'), (108, 145, 'clause'), (147, 174, 'clause')]",
"Мало того, что эти ощущения крайне неприятны сами по себе, я знаю, что со спазмов лицевых мышц начинаются смертельно опасные заболевания - столбняк, энцефалит, менингит.","[(0, 57, 'clause'), (59, 65, 'clause'), (67, 136, 'clause')]",
"Я обречён на существование, которое не имеет для меня никакого смысл, но не умираю т. к. запрограммирован бояться смерти.","[(0, 26, 'clause'), (28, 68, 'clause'), (70, 82, 'clause'), (83, 120, 'clause')]",
"Не надеюсь и не хочу никого больше встречать, как меня может кто- то полюбить если я не могу любить себя.","[(0, 44, 'clause'), (46, 77, 'clause'), (78, 104, 'clause')]",
"я часто злилась на маму что у нее нет высшего образования и достойной работы, хотя ее родители были когда то обеспеченными людьми.","[(0, 23, 'clause'), (24, 76, 'clause'), (78, 129, 'clause')]",
"Здравствуйте, мне очень тяжело на душе, больно, хочется просто покончить с собой.","[(0, 12, 'clause'), (14, 38, 'clause'), (40, 46, 'clause'), (48, 80, 'clause')]",
"Развод состоялся по моей инициативе, на тот момент я была психически подавлена, с постоянно прыгающим давлением.","[(0, 35, 'clause'), (37, 111, 'clause')]",
"у меня совершенно нет энергии, меня все угнетает.","[(0, 29, 'clause'), (31, 48, 'clause')]",
"В школе, сколько себя помню, обижали, обзывали, даже били, сильно.","[(0, 7, 'clause'), (9, 27, 'clause'), (29, 65, 'clause')]",
"Моя проблема по жизни, из-за которой я депресую-это неуверенность в себе.","[(0, 21, 'clause'), (23, 47, 'clause'), (48, 72, 'clause')]",
"Каждую ночь я вижу кошмары, уже много лет, никаких нормальных снов, мне уже просто страшно дальше жить.","[(0, 41, 'clause'), (43, 66, 'clause'), (68, 102, 'clause')]",
"С человеком которого я полюбила, мы стали парой.","[(0, 31, 'clause'), (33, 47, 'clause')]",
